jobId,title,companyName,Industry,Clean_City,tagsAndSkills,minimumExperience,minimumSalary,maximumSalary,midSalary
270525026436,Walk In Drive @Noida | Quality Analyst | TELUS Digital,TELUS International,Other,Delhi NCR,"Call Audit,Quality Audit,Call Monitoring,Call Quality,QC Tools,Call Center Operations,Bpo Operations,Call Calibration",1,0.0,0.0,
250925507667,SEO Analyst,Einfolge Technologies,IT/Tech,Bangalore,"Email marketing,Social media,Analytical,SEO Analyst,Brand awareness,Link building,Research,Management",1,0.0,0.0,
250925035799,"Software Engineer/Business Analyst, 2025 graduate Can also apply",Care Health Insurance,BFSI,Gurugram,"Product Development,Development,Software Development,Requirement Gathering,Product Development Life Cycle,Business Analysis,Analysis,Software",0,0.0,0.0,
220825010594,Process Analyst - F&A,Provana,Other,Delhi NCR,"Typing Skills,Advanced Excel,Bank Reconciliation,Vendor Reconciliation,Ledger,Accounts Receivable,Journal Entries,Accounts Payable",0,0.0,0.0,
110925012892,Banking Documents Review Analyst International Banking Bangalore,White Horse Manpower Consultancy,Manufacturing/Core,Bangalore,"International Banking Analyst,KYC Documents Review,Banking Operations,Banking Compliance,Banking Documents Review,Trade Finance Documents,Banking Verification,International Banking Jobs Bangalore",1,200000.0,600000.0,400000.0
31025503207,SEO Analyst,Happiness Code,Other,Kozhikode,"digital marketing,seo analysis,search engine,google adwords,google webmaster tools,off-page optimization,research,on-page optimization",0,0.0,0.0,
31025502959,Auth Create Analyst,R1 RCM,Other,Gurugram,"Analytical skills,Usage,Excel,Medical billing,Senior Analyst,Patient care,Healthcare,MS Word",0,0.0,0.0,
31025011927,Analyst - Management Consulting,Mercados Energy Markets,Manufacturing/Core,Gurugram,"Tariff,Regulatory,Regulatory Due Digilence,Financial Modelling,PPA,energy policies,Policy Advocacy,Power Purchase",0,400000.0,900000.0,650000.0
31025011759,Wanted Medical Coding Analyst- Coimbatore,Resolve Medicode,Other,Pollachi,"Medical Coding,HCPCS,Clinical Research,CPT,Medical Transcription,CPC,ICD,Cpt Coding",0,100000.0,250000.0,175000.0
31025011478,Medical Data Analyst,Orcapod Consulting Services,IT/Tech,Chennai,"Medical Data Analyst,Clinical Data Management,Medicos,Data analysis,Management,Clinical Data,Medical,Data management",0,225000.0,375000.0,300000.0
31025007528,Capital Market Operations analyst,Kashcloud Kpo Services,IT/Tech,Mathura,"Data Analysis,Excel,Trade Reconciliation,Operations,Reconciliation,Data,Capital market operations,Analysis",0,700000.0,900000.0,800000.0
21025009346,Data Consultant Analyst,Aspire Tech It Solution,IT/Tech,Visnagar,"Attention To Detail,Good Communication In English,Technical Consulting,Communication skills,Technical,Detailing,Data,English",0,175000.0,375000.0,275000.0
11025503851,Quality Analyst SP,Toluna Group,Other,Gurugram,"software testing,regression testing,automation testing,manual testing,test cases,smoke testing,gui testing,quality analysis",0,0.0,0.0,
11025014220,Research Analyst,ZIGRAM ,Other,Hybrid - Gurugram,"Excel,Secondary Research,Research,Primary Research,Communication Skills,Qualitative Research,Quantitative Research,Research analysis",0,0.0,0.0,
11025012286,Research Analyst (Ludhiana),Saguna Consulting Services,IT/Tech,Ludhiana,"Communication Skills,Research Analysis,Market Analysis,Market Intelligence,Marketing,Research,Analysis,Intelligence",0,150000.0,275000.0,212500.0
310524008217,Sr.AR Analyst,Planedway Services,Staffing/HR Services,Hyderabad,"AR Calling,Denial Management,Charge Posting,Revenue Cycle Management,Appeals,US Healthcare,Cpt Coding,Payment Posting",1,300000.0,550000.0,425000.0
120925027012,"International BPO-WFM/Resource Planner/RTA Analyst @A'bad, Gandhinagar",Arise Solutions,IT/Tech,Kolkata,"Capacity Management,Capacity Planning,Capacity Analysis,RTA,WFM,Resource Planning,Analysis,Resource",1,750000.0,950000.0,850000.0
290925002023,Analyst-Optimization,Sakon,Other,Hybrid - Pune,"Invoice Processing,Financial Analyst,Advanced Excel,Pivot Table,Client Communication,VLOOKUP,Cost Control,Cost Optimization",1,0.0,0.0,
260925927828,InP - Implementation Conversion Analyst Specialist,FIS,Other,Pune,"dml,dbms,sql,ddl,intellimatch,css,c++,crystal report",1,0.0,0.0,
260925503526,SOC Analyst L1,Altisec Technologies,IT/Tech,Pune,"IT services,Networking protocols,Information security,DNS,Network security,Incident management,HTTP,Antivirus",1,0.0,0.0,
260925500596,Analyst Middle Office,Apex Group,Other,Pune,"CVS,Money market,Talent acquisition,calypso,Fund administration,Trade support,Capital market,Apex",1,0.0,0.0,
250925509883,Business Analyst Intern,Vertoz,Other,Pune,,0,,,
250925011189,Data Analyst Non-IT- Fresher,Nalco Water,Other,Pune,"Communication Skills,Excel,Data Management,Advanced Excel,VisionAI,Data,Data analysis,Management",0,0.0,0.0,
240925507112,Research Analyst (RA),Machbizz Marketers,Other,Pune,"Excel,Research Analyst,Research,Analysis,Research analysis,RA",0,0.0,0.0,
240925034361,Process Analyst Trainee,Principal Global Services,Staffing/HR Services,Pune,"Good Communication In English,Typing Speed,Insurance Operations,Operations,Typing,Training,English,Communication skills",0,225000.0,350000.0,287500.0
240925015111,Business Analyst For Education ERP (SaaS),Global Solutions,IT/Tech,Pune,"Saas Applications,Requirement Gathering,Business Analysis,Business Requirement Analysis,ERP Implementation,Workflow Management,Process Analysis,UAT",1,175000.0,225000.0,200000.0
70825010830,"Analyst, Talent Management",Tresvista Financial Services,Staffing/HR Services,Hybrid - Pune,"Policies,Policy Making,Performance Management,Appraisal,Performance Appraisal,Policy Design,Policy Analysis,Policy Development",0,0.0,0.0,
240925022799,SOC Analyst 1,Black Box,Other,Bangalore,"Log Analysis,SIEM,Monitoring,Tcp Ip Protocol,DNS,Troubleshooting,Security Operations Center,Protocols",1,450000.0,550000.0,500000.0
300925927025,Quality Analyst,PRO Hr Complete Solutions,IT/Tech,Mumbai,"BPO,Quality Analysis,Call Monitoring,Quality Monitoring,QC Tools,Call Audit,Feedback,Excellent Communication In English",1,300000.0,400000.0,350000.0
250925932544,Travel Revenue Assurance Analyst,Gratitude India Manpower Consultants Pvt. Ltd.,Manufacturing/Core,Mumbai,"data analysis,sql,revenue assurance,revenue management,finance,financial analysis,accounts receivable,project management",1,0.0,0.0,
250925932533,Travel Revenue Assurance Analyst,Gratitude India Manpower Consultants Pvt. Ltd.,Manufacturing/Core,Mumbai Suburban,"application software,data analysis,it services,networking,revenue assurance,project management,internet browsing,billing",1,0.0,0.0,
250925932503,Travel Revenue Assurance Analyst,Gratitude India Manpower Consultants Pvt. Ltd.,Manufacturing/Core,Mumbai,"data analysis,accounting,sql,revenue assurance,revenue,financial analysis,accounts receivable,accounts payable",1,0.0,0.0,
250925508606,"Analyst, Paraplanner",Russell Investments,Other,Mumbai,"Training,Financial reporting,Financial planning,Support services,Asset management,Taxation,Research,Financial services",1,0.0,0.0,
250925507467,Business Analyst,Estee Lauder Companies,Other,Mumbai,"BPO,Order management,remediation,SAP,US GAAP,Excel,Hyperion,Corporate finance",1,0.0,0.0,
240925927928,Travel Revenue Assurance Analyst,Gratitude India Manpower Consultants Pvt. Ltd.,Manufacturing/Core,Mumbai,"financial analysis,variance analysis,budgeting,financial reporting,financial planning,accounts receivable,accounts payable,mis reporting",1,0.0,0.0,
240925927924,Airline Cargo Revenue Analyst,Gratitude India Manpower Consultants Pvt. Ltd.,Manufacturing/Core,Mumbai,"apqp,fmea,analysis tools,ppap,revenue management,financial analysis,windows xp,control plan",1,0.0,0.0,
240925922391,Revenue Integrity Analyst (Travel Domain),Gratitude India Manpower Consultants Pvt. Ltd.,Manufacturing/Core,Mumbai,"it services,business development,sales,revenue,it sales,project management,networking,software solution sales",1,0.0,0.0,
240925920144,Customer Support Analyst (International),Gratitude India Manpower Consultants Pvt. Ltd.,Manufacturing/Core,Mumbai Suburban,"customer service,customer complaints,customer support,ticketing,crm,ticketing tools,international ticketing,customer care",1,0.0,0.0,
240925920132,Customer Support Analyst (International),Gratitude India Manpower Consultants Pvt. Ltd.,Manufacturing/Core,Mumbai,"customer service,customer complaints,customer support,ticketing,crm,ticketing tools,international ticketing,customer care",1,0.0,0.0,
240925920110,Revenue Integrity Analyst (Travel Domain),Gratitude India Manpower Consultants Pvt. Ltd.,Manufacturing/Core,Mumbai,"it services,business development,sales,revenue,revenue management,project management,team management,forecasting",1,0.0,0.0,
240925920109,Revenue Integrity Analyst (Travel Domain),Gratitude India Manpower Consultants Pvt. Ltd.,Manufacturing/Core,Mumbai Suburban,"it services,business development,sales,revenue,it sales,project management,networking,software solution sales",1,0.0,0.0,
240925920076,Revenue Integrity Analyst (Travel Domain),Gratitude India Manpower Consultants Pvt. Ltd.,Manufacturing/Core,Mumbai,"revenue recognition,data analysis,accounting,revenue,finance,financial analysis,accounts receivable,accounts payable",1,0.0,0.0,
240925920072,Customer Support Analyst (International),Gratitude India Manpower Consultants Pvt. Ltd.,Manufacturing/Core,Mumbai,"ticketing tools,customer service,crm software,customer support,troubleshooting,cold calling,customer relationship,customer complaints",1,0.0,0.0,
240925919158,Customer Support Analyst ( International ),Gratitude India Manpower Consultants Pvt. Ltd.,Manufacturing/Core,Mumbai,"service management,customer service,customer complaints,customer support,customer experience,customer relationship,production,customer care",1,0.0,0.0,
240925919115,Airline Cargo Revenue Analyst,Gratitude India Manpower Consultants Pvt. Ltd.,Manufacturing/Core,Mumbai,"data analysis,microsoft office suite,sql,tableau,revenue management,financial analysis,accounts receivable,revenue recognition",1,0.0,0.0,
240925919110,Airline Cargo Revenue Analyst,Gratitude India Manpower Consultants Pvt. Ltd.,Manufacturing/Core,Mumbai,"revenue analysis,microsoft office suite,sql,tableau,revenue management,financial analysis,accounts receivable,revenue recognition",1,0.0,0.0,
240925919083,Airline Cargo Revenue Analyst,Gratitude India Manpower Consultants Pvt. Ltd.,Manufacturing/Core,Mumbai Suburban,"revenue analysis,dbms,accounting,microsoft office suite,finance,financial analysis,accounts receivable,revenue recognition",1,0.0,0.0,
240925506914,Senior Analyst Resource,Retransform,Other,Mumbai,"data cleansing,Accountancy,Data analysis,Data validation,Data migration,IT security,Finance,Data structures",1,0.0,0.0,
240925506879,Analyst - Business Operations,Coindcx,Other,Mumbai,"Mining,Excel,Payment systems,Compliance,Senior Analyst,Analytical,Reconciliation,Wellness",1,0.0,0.0,
240925028707,Hiring For Service Desk Analyst and Incident Analyst,FSP Solutions,IT/Tech,Goregaon,"major incident management,IT Helpdesk,Service Now Ticketing,Ticketing Tools,Service Desk,SLA,incident,Desk",1,300000.0,500000.0,400000.0
240925026302,Business Analyst Intern,Smollan Group,Other,Remote,,0,,,
230925028196,Financial Analyst - Back Office Executive,Navkar Business Services,Staffing/HR Services,Mumbai,"data entry,Excel Report Preparation,Data,Office,Report preparation,Finance,Reporting,Excel",1,200000.0,300000.0,250000.0
180925011315,Research Analyst For an NGO (Samabhavana),Robospecies Technologies,IT/Tech,Mumbai,"Analytical Research,Research Analysis,Advanced Excel,Research,Analytical,Excel,Analytics,Analysis",0,175000.0,250000.0,212500.0
100125009581,Financial Analyst,Bauer Corporate Services,Staffing/HR Services,Mumbai Suburban,"IFRS,Financial analysis,Finance",1,0.0,0.0,
230925506037,Data Operations Analyst,Zeronorth,Other,Mumbai,"data operations,data quality,operations,data analysis,writing,onboarding,maritime,reporting",1,0.0,0.0,
230925500907,Associate Analyst,Meredith,Other,Hyderabad,"Automation,Journal entries,Excel,Coding,Hyperion,Relationship building,Oracle,Analytics",1,0.0,0.0,
300925024647,Financial Analyst,ti Steps,Other,Hyderabad,"SAP,VLOOKUP,GAAP,Tableau,Finance Modelling,Management,Budgeting,Forecasting",0,400000.0,800000.0,600000.0
260925919932,Quality Analyst(QA),Applied Data Finance,BFSI,Hyderabad,"compliance frameworks,call scoring mechanisms,Call Audits,international voice processes,QA tools,Communication,Voice process,Auditing",0,0.0,0.0,
260925918223,Quality Analyst (QA),Applied Data Finance,BFSI,Hyderabad,"Quality Analysis,call scoring mechanisms,international BPO,Call Audits,and compliance frameworks,international voice processes,QA tools,Voice process",0,0.0,0.0,
300925505149,Data Analyst Intern,Codemonk,Other,Bangalore,,0,,,
300925505034,Business Analyst,lastminute.com NV,Other,Bangalore,"Analytical skills,Data analysis,Manager Quality Assurance,Business Analyst,Product analysis,Manager Technology,power bi,Customer service",0,0.0,0.0,
290925503373,Business Analyst,TRC Companies,Other,Hyderabad,"Computer science,Team management,Project management,Machine learning,Agile,Scrum,Test cases,Visio",0,0.0,0.0,
290925018580,Fresher - Analyst,Teamware Solutions,IT/Tech,Bangalore,"Communication Skills,Analysis",0,200000.0,300000.0,250000.0
290925015886,Digital Marketing Analyst/Associates,Netelixir Digital Solutions,IT/Tech,Hybrid - Hyderabad,"Communication Skills,Critical Thinking,Paid Search,Analytical,Digital Marketing,Social Media Marketing,SEO,Marketing",0,0.0,0.0,
260925924205,Client Service Analyst,Talent21 Management  Shared Services Pvt. ltd.,Staffing/HR Services,Bangalore,"Client Service,digital marketing,digital media,ms office suite,affiliate marketing,communication skills,Office,Client servicing",0,0.0,0.0,
260925031436,Service Desk Analyst,IntouchCX,Other,Hyderabad,"Ticketing,Service Desk,Active Directory,Directory,Desk",0,0.0,0.0,
260925026491,Analyst Infrastructure Services (Technical Support Engineer),Talent Toppers,Other,Bangalore,"Technical Support,Customer Support,L1 Support,Desktop Support,Remote Support,Global Operations,Application Support,IT Support",0,0.0,0.0,
260825019676,Walk-in drive - Internet Research Analyst,Trupp Global Technologies,IT/Tech,Bangalore,"Data Research,Internet Research,Bpo Non Voice,Web Research,non voice international BPO non voice,Business Research,International Non Voice,Online Research",0,200000.0,400000.0,300000.0
250925932828,Udaan Intern - Analyst,Myntra,Ecommerce/Logistics,Bangalore,"python,data analytics,sql,advanced excel,process automation,presentation skills,training,action oriented",1,0.0,0.0,
250925921908,Udaan Intern - Data Analyst - Seller Experience,Myntra,Ecommerce/Logistics,Bangalore,"python,data analytics,data analysis,sql,r,natural language processing,neural networks,linear regression",1,0.0,0.0,
250925034318,"Quality Analyst, Call Auditing",Shinewell Consultants Bangalore,Consulting,Bangalore,"Call Monitoring,Call Audit,Quality Monitoring,Quality,Call Calibration,Calling,Quality analysis,Monitoring",1,325000.0,375000.0,350000.0
240925503138,Quality Analyst - Technical Support,Reputation,Other,Hyderabad,"Health insurance,Change management,Healthcare,Customer support,Medical insurance,Continuous improvement,Automotive,Auditing",1,0.0,0.0,
240925026294,Fraud Analyst || Bangalore,Imaginators Try Going Beyond,Other,Bangalore,"fraud analyst,Transaction Monitoring,Aml,Us Banking,Aml Kyc,Lexis Nexis,Fraud Analysis,Anti Money Laundering",1,150000.0,450000.0,300000.0
230925500273,Senior Analyst - Finance & Accounts,Microland,Other,Bangalore,"General accounting,Accounting,Senior Analyst,PeopleSoft,Financial Analyst,Management,Research,Accounting software",1,0.0,0.0,
230925035574,Fraud Analyst || Bangalore,Imaginators Try Going Beyond,Other,Bangalore,"fraud analyst,Transaction Monitoring,Aml,Us Banking,Aml Kyc,Lexis Nexis,Fraud Analysis,Anti Money Laundering",1,150000.0,450000.0,300000.0
220925004864,Hiring freshers For Technical Support Analyst Role!!CTC UPTO 5Lac,Rivera Manpower Services,Manufacturing/Core,Bangalore,"L1 support,technical support,Microsoft Windows,IT Helpdesk,hardware support,Network Support,IT Support,Troubleshooting",0,400000.0,500000.0,450000.0
40925016342,Travel And Expense Analyst,Manpowergroup Services India,Manufacturing/Core,Hyderabad,"Citi bank portal,Appzen,Concur,Travel And Expense,Travel expense report,Reconciliation,Service now,Expenses",1,300000.0,700000.0,500000.0
31025910144,Customer Service & Operations Analyst DSARS,Natwest Digitalx,IT/Tech,Chennai,"customer service,customer complaints,customer service operations,gdpr,act,app-v,application packaging,application repackaging",1,0.0,0.0,
