jobId,title,companyName,Industry,Clean_City,tagsAndSkills,minimumExperience,minimumSalary,maximumSalary,midSalary
270525026436,Walk In Drive @Noida | Quality Analyst | TELUS Digital,TELUS International,Other,Delhi NCR,"Call Audit,Quality Audit,Call Monitoring,Call Quality,QC Tools,Call Center Operations,Bpo Operations,Call Calibration",1,0.0,0.0,
260925504146,Senior Decision Analyst- Marketing Measurement AVP,Barclays,Other,Delhi NCR,"data cleansing,Data analysis,Analytical,Data quality,Business strategy,Assistant Vice President,Operations,Product marketing",5,0.0,0.0,
260925502205,SR. ANALYST INDIRECT SOURCING,Lennox India Technology Centre (LITC),IT/Tech,Chennai,"supplier development,strategic sourcing,ms access,purchase,sourcing,excel,lean,vendor development",4,0.0,0.0,
260925026920,Business Analyst,Denave,Other,Delhi NCR,"Business Analysis,Client Management,Requirement Gathering,Management,Analysis,Requirements,Client",2,0.0,0.0,
260925014595,Financial Planning Analyst,Incedo,Other,Delhi NCR,"Financial Planning And Analysis,Monthly Reports,SAP,quarterly reporting,Cash Flow Reporting,Budgeting And Forecasting,Budget Analysis,Variance Analysis",2,0.0,0.0,
260925013614,FP&A Analyst,Intas,Other,Ahmedabad,"Financial Reporting,Budgeting And Forecasting,Financial Planning And Analysis,MIS Reporting,Financial Operations,Reporting,MIS,Financial planning",3,0.0,0.0,
250925507667,SEO Analyst,Einfolge Technologies,IT/Tech,Bangalore,"Email marketing,Social media,Analytical,SEO Analyst,Brand awareness,Link building,Research,Management",1,0.0,0.0,
250925035799,"Software Engineer/Business Analyst, 2025 graduate Can also apply",Care Health Insurance,BFSI,Gurugram,"Product Development,Development,Software Development,Requirement Gathering,Product Development Life Cycle,Business Analysis,Analysis,Software",0,0.0,0.0,
240925506038,Senior Functional Analyst - Finance,Octopus Energy,Manufacturing/Core,Bangalore,"SAP BPC,Process design,Performance management,Analytical,Consulting,Integration testing,Unit testing,Information technology",9,0.0,0.0,
240925027196,Quality Analyst - Live Underwriting,Firstsource,Other,Chennai,"Underwriting,Live Underwriting,Mortgage Underwriting,Residential Mortgage,post closing underwriting,Quality,Closing,Quality analysis",3,700000.0,1100000.0,900000.0
240925026222,Programmatic - Analyst,Omnicom Media Group,Other,Chennai,"dsp,digital marketing,ppc,access,analytical,bidding,google adwords,ad operations",2,0.0,0.0,
240925007629,Legal Analyst,Hoolime Technologies,IT/Tech,Chandigarh,"Contract Review & Management,Collaboration & Advisory Support,Regulatory Research & Compliance,Contract review,Contracts,Advisory,Collaboration,Research",2,0.0,0.0,
230925018146,Calypso Business Analyst L3 - Bangalore,Net Connect,Other,Bangalore,"Capital Market,Calypso Business Analyst,Project Management,Back Office,SQL,Repos,Bonds,Analytical",5,500000.0,1000000.0,750000.0
